rmse,mae,precision@10,recall@10,ndcg@10,n_train,n_test,n_test_users,n_test_items,evaluation_scope,model,status
0.48512194247307727,0.3679021416951666,0.0,0.0,0.0,74265,18569,1884,7095,full_catalog,Global mean,ok
0.25881405043905953,0.19535018320190548,0.0,0.0,0.0,74265,18569,1884,7095,full_catalog,User mean,ok
0.504336169183706,0.3831244761676674,0.0,0.0,0.0,74265,18569,1884,7095,full_catalog,Item mean,ok
0.26896160829934496,0.2018394932397648,0.0,0.0,0.0,74265,18569,1884,7095,full_catalog,kNN CF,ok
0.25686116614468346,0.19125385861889851,0.003448275862068966,0.034482758620689655,0.034482758620689655,74265,18569,1884,7095,full_catalog,MF (Ratings),ok
0.2579780576954185,0.1948839103356782,0.003448275862068966,0.034482758620689655,0.034482758620689655,74265,18569,1884,7095,full_catalog,MF + Tags,ok
0.5030928962779083,0.35037311630246876,,,,81,18,18,4,audio_overlap,MF + Audio,ok
0.5030849283560871,0.35036643361197767,,,,81,18,18,4,audio_overlap,MF + Tags + Audio,ok
